运单ID,运单号,客户ID,客户,出发地,目的地,旧金额,新金额,差异,差异%,状态,新引擎状态,新引擎错误,明细数
109,YD20260511212534560199,6,[mockdata]华北汽车物流有限公司-205322-0001-3665,辽宁省/朝阳市/朝阳县,内蒙古自治区/乌兰察布市/商都县,21089.23,0.0,-21089.23,,new_unmatched,exception,,2
108,YD20260511212534797498,70,[mockdata]东北跨境股份有限公司-205948-0015-4083,黑龙江省/齐齐哈尔市/梅里斯达斡尔族区,安徽省/亳州市/市辖区,13390.14,0.0,-13390.14,,new_unmatched,exception,,2
107,YD20260511212534558097,9,[mockdata]西南仓储有限公司-205322-0004-2640,安徽省/安庆市/桐城市,辽宁省/沈阳市/新民市,16462.39,0.0,-16462.39,,new_unmatched,exception,,1
106,YD20260511212534511796,16,[mockdata]华南零部件贸易供应链公司-205322-0011-7564,内蒙古自治区/锡林郭勒盟/西乌珠穆沁旗,辽宁省/锦州市/黑山县,16917.88,0.0,-16917.88,,new_unmatched,exception,,1
105,YD20260511212534584495,61,[mockdata]华南整车经销股份有限公司-205948-0006-1395,黑龙江省/伊春市/丰林县,河北省/邯郸市/鸡泽县,24348.87,0.0,-24348.87,,new_unmatched,exception,,2
104,YD20260511212534103394,40,[mockdata]东北零部件贸易有限公司-205322-0035-4733,河北省/邯郸市/邯山区,黑龙江省/齐齐哈尔市/克东县,5243.38,0.0,-5243.38,,new_unmatched,exception,,2
103,YD20260511212534863893,51,[mockdata]华东整车经销有限公司-205322-0046-7543,安徽省/宣城市/旌德县,山西省/忻州市/保德县,8942.38,0.0,-8942.38,,new_unmatched,exception,,2
102,YD20260511212534933092,42,[mockdata]东北零部件贸易供应链公司-205322-0037-4121,内蒙古自治区/包头市/白云鄂博矿区,河北省/保定市/曲阳县,4695.83,0.0,-4695.83,,new_unmatched,exception,,2
101,YD20260511212534925791,82,[mockdata]华南仓储有限公司-205948-0027-2599,内蒙古自治区/兴安盟/乌兰浩特市,山西省/临汾市/尧都区,19849.07,0.0,-19849.07,,new_unmatched,exception,,2
99,YD20260511212534228089,53,[mockdata]华中城配供应链公司-205322-0048-4435,福建省/福州市/永泰县,河北省/沧州市/孟村回族自治县,9613.8,0.0,-9613.8,,new_unmatched,exception,,1
98,YD20260511212534950488,33,[mockdata]西北汽车物流有限公司-205322-0028-9536,河北省/沧州市/黄骅市,内蒙古自治区/兴安盟/科尔沁右翼前旗,10943.1,0.0,-10943.1,,new_unmatched,exception,,2
97,YD20260511212534658087,12,[mockdata]华北冷链运输集团-205322-0007-9967,内蒙古自治区/呼伦贝尔市/额尔古纳市,辽宁省/辽阳市/弓长岭区,21265.66,0.0,-21265.66,,new_unmatched,exception,,1
96,YD20260511212534620786,72,[mockdata]华南仓储贸易公司-205948-0017-8519,黑龙江省/鸡西市/城子河区,河北省/张家口市/桥西区,7329.13,0.0,-7329.13,,new_unmatched,exception,,1
95,YD20260511212534857785,19,[mockdata]华北城配股份有限公司-205322-0014-8676,河北省/唐山市/市辖区,辽宁省/丹东市/振安区,18768.52,0.0,-18768.52,,new_unmatched,exception,,1
94,YD20260511212534668284,53,[mockdata]华中城配供应链公司-205322-0048-4435,辽宁省/辽阳市/灯塔市,河北省/沧州市/献县,9804.08,0.0,-9804.08,,new_unmatched,exception,,1
93,YD20260511212534761983,6,[mockdata]华北汽车物流有限公司-205322-0001-3665,安徽省/铜陵市/市辖区,黑龙江省/伊春市/嘉荫县,8564.75,0.0,-8564.75,,new_unmatched,exception,,2
92,YD20260511212534506382,64,[mockdata]华东跨境贸易公司-205948-0009-7558,河北省/石家庄市/无极县,浙江省/丽水市/莲都区,10957.13,0.0,-10957.13,,new_unmatched,exception,,2
91,YD20260511212534770481,84,[mockdata]华中冷链运输股份有限公司-205948-0029-1420,浙江省/杭州市/建德市,吉林省/四平市/铁东区,18311.57,0.0,-18311.57,,new_unmatched,exception,,1
90,YD20260511212534242880,60,[mockdata]华南零部件贸易股份有限公司-205948-0005-8113,黑龙江省/七台河市/桃山区,天津市/市辖区/东丽区,5034.79,0.0,-5034.79,,new_unmatched,exception,,2
89,YD20260511212534834579,13,[mockdata]西南冷链运输集团-205322-0008-3460,安徽省/芜湖市/南陵县,安徽省/合肥市/蜀山区,12434.58,0.0,-12434.58,,new_unmatched,exception,,2
88,YD20260511212534179178,79,[mockdata]华中仓储股份有限公司-205948-0024-4524,吉林省/通化市/集安市,江苏省/镇江市/扬中市,23250.18,0.0,-23250.18,,new_unmatched,exception,,2
